muni_code,muni_name,muni_long_name,province,muni_category,miif_category,num_taxpayers,taxable_income_rm,avg_taxable_income,total_capex_rm,total_budget_rm,spending_ratio,underspend_pct,opinion_code,opinion_label,governance_score,uifw_total_rm,uifw_pct_budget
EC154,Port St Johns,"Port St Johns, Eastern Cape",Eastern Cape,B,B4,3854.0,960.0,249092.0,110.93,190.9,0.581,41.9,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,107.92,56.53
EC155,Nyandeni,"Nyandeni, Eastern Cape",Eastern Cape,B,B4,8395.0,1973.0,235021.0,199.39,211.04,0.945,5.5,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,253.37,120.06
EC156,Mhlontlo,"Mhlontlo, Eastern Cape",Eastern Cape,B,B4,7687.0,1819.0,236633.0,120.7,156.52,0.771,22.9,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,6.03,3.85
EC157,King Sabata Dalindyebo,"King Sabata Dalindyebo, Eastern Cape",Eastern Cape,B,B2,33986.0,9740.0,286589.0,485.15,452.69,1.072,-7.2,qualified,Qualified,3.0,32.49,7.18
EC441,Matatiele,"Matatiele, Eastern Cape",Eastern Cape,B,B3,8106.0,1968.0,242783.0,169.05,247.52,0.683,31.7,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,85.63,34.6
EC442,Umzimvubu,"Umzimvubu, Eastern Cape",Eastern Cape,B,B4,8702.0,2128.0,244541.0,257.6,308.27,0.836,16.4,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,0.06,0.02
EC443,Winnie Madikizela-Mandela,"Winnie Madikizela-Mandela, Eastern Cape",Eastern Cape,B,B4,8807.0,2065.0,234473.0,166.55,245.57,0.678,32.2,unqualified,Unqualified - No findings,5.0,1.59,0.65
EC444,Ntabankulu,"Ntabankulu, Eastern Cape",Eastern Cape,B,B4,2354.0,569.0,241716.0,54.72,96.22,0.569,43.1,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,39.19,40.73
EKU,City of Ekurhuleni,"City of Ekurhuleni, Gauteng",Gauteng,A,A,509774.0,166960.0,327518.0,9158.92,9810.74,0.934,6.6,unqualified,Unqualified - No findings,5.0,226.67,2.31
ETH,eThekwini,"eThekwini, Kwazulu-Natal",KwaZulu-Natal,A,A,461463.0,139860.0,303080.0,8388.7,11252.75,0.745,25.5,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,779.9,6.93
