muni_code,demarcation_label,opinion_code,opinion_label,governance_score
GT421,Emfuleni,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
GT422,Midvaal,unqualified,Unqualified - No findings,5
GT423,Lesedi,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
GT481,Mogale City,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
GT484,Merafong City,adverse,Adverse opinion,2
GT485,Rand West City,qualified,Qualified,3
JHB,City of Johannesburg,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN212,Umdoni,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN213,Umzumbe,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN214,uMuziwabantu,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN216,Ray Nkonyeni,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN221,uMshwathi,qualified,Qualified,3
KZN222,uMngeni,qualified,Qualified,3
KZN223,Mpofana,qualified,Qualified,3
KZN224,Impendle,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN225,Msunduzi,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN226,Mkhambathini,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN227,Richmond,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN235,Okhahlamba,unqualified,Unqualified - No findings,5
KZN237,Inkosi Langalibalele,disclaimer,Disclaimer of opinion,1
KZN238,Alfred Duma,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN241,Endumeni,qualified,Qualified,3
KZN242,Nquthu,disclaimer,Disclaimer of opinion,1
KZN244,Msinga,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN245,Umvoti,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN252,Newcastle,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN253,Emadlangeni,qualified,Qualified,3
KZN254,Dannhauser,qualified,Qualified,3
KZN261,eDumbe,qualified,Qualified,3
KZN262,uPhongolo,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN263,Abaqulusi,qualified,Qualified,3
KZN265,Nongoma,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN266,Ulundi,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN271,Umhlabuyalingana,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN272,Jozini,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN275,Mtubatuba,qualified,Qualified,3
KZN276,Hlabisa Big Five,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN281,Mfolozi,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN282,uMhlathuze,unqualified,Unqualified - No findings,5
KZN284,uMlalazi,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN285,Mthonjaneni,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN286,Nkandla,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN291,Mandeni,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN292,KwaDukuza,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN293,Ndwedwe,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
