muni_code,demarcation_label,uifw_fruitless,uifw_irregular,uifw_unauthorised,uifw_total,uifw_total_rm
EC157,King Sabata Dalindyebo,19562870.0,9284672.0,3646060.0,32493602.0,32.49
EC441,Matatiele,901631.0,15127717.0,69601485.0,85630833.0,85.63
EC442,Umzimvubu,61343.0,0.0,0.0,61343.0,0.06
EC443,Winnie Madikizela-Mandela,1473.0,1590000.0,0.0,1591473.0,1.59
EC444,Ntabankulu,23828974.0,15362118.0,0.0,39191092.0,39.19
EKU,City of Ekurhuleni,641430.0,226029141.0,0.0,226670571.0,226.67
ETH,eThekwini,9573000.0,770324000.0,0.0,779897000.0,779.9
FS161,Letsemeng,8785108.0,164094118.0,177058547.0,349937773.0,349.94
FS162,Kopanong,0.0,0.0,0.0,0.0,0.0
FS163,Mohokare,11203586.0,24803506.0,53672874.0,89679966.0,89.68
FS181,Masilonyana,0.0,0.0,0.0,0.0,0.0
FS182,Tokologo,0.0,0.0,0.0,0.0,0.0
FS183,Tswelopele,24039.0,25279466.0,1387000.0,26690505.0,26.69
FS184,Matjhabeng,105472288.0,453550791.0,1274087422.0,1833110501.0,1833.11
FS185,Nala,650675.0,93894314.0,168667767.0,263212756.0,263.21
FS191,Setsoto,2504899.0,93216995.0,319561516.0,415283410.0,415.28
FS192,Dihlabeng,21174242.0,151323677.0,255555816.0,428053735.0,428.05
FS193,Nketoana,0.0,0.0,0.0,0.0,0.0
FS194,Maluti-a-Phofung,128540091.0,29908838.0,168798650.0,327247579.0,327.25
FS195,Phumelela,11168708.0,8471110.0,95611689.0,115251507.0,115.25
FS196,Mantsopa,5499916.0,0.0,182819770.0,188319686.0,188.32
FS201,Moqhaka,5386711.0,140623380.0,76693867.0,222703958.0,222.7
FS203,Ngwathe,30573142.0,0.0,99115148.0,129688290.0,129.69
FS204,Metsimaholo,3594516.0,70724402.0,16372664.0,90691582.0,90.69
FS205,Mafube,0.0,0.0,0.0,0.0,0.0
GT421,Emfuleni,399626377.0,80089622.0,1152484854.0,1632200853.0,1632.2
GT422,Midvaal,4298751.0,5461600.0,0.0,9760351.0,9.76
GT423,Lesedi,39564.0,14481206.0,22369422.0,36890192.0,36.89
GT481,Mogale City,22940652.0,84644079.0,0.0,107584731.0,107.58
GT484,Merafong City,46119165.0,33893638.0,0.0,80012803.0,80.01
GT485,Rand West City,59726643.0,164128326.0,202072243.0,425927212.0,425.93
JHB,City of Johannesburg,11380000.0,1118009000.0,1003250000.0,2132639000.0,2132.64
KZN212,Umdoni,15396807.0,91640629.0,16930064.0,123967500.0,123.97
KZN213,Umzumbe,11729.0,60778479.0,0.0,60790208.0,60.79
KZN214,uMuziwabantu,87847.0,26391122.0,9000.0,26487969.0,26.49
KZN216,Ray Nkonyeni,171467.0,31850292.0,0.0,32021759.0,32.02
KZN221,uMshwathi,0.0,124900.0,77090800.0,77215700.0,77.22
KZN222,uMngeni,646535.0,21965833.0,86057073.0,108669441.0,108.67
KZN223,Mpofana,635760.0,50781958.0,51943526.0,103361244.0,103.36
KZN224,Impendle,0.0,3985261.0,15962209.0,19947470.0,19.95
KZN225,Msunduzi,9219285.0,50096103.0,920571748.0,979887136.0,979.89
KZN226,Mkhambathini,0.0,441012.0,4701195.0,5142207.0,5.14
KZN227,Richmond,464868.0,22583824.0,6731230.0,29779922.0,29.78
KZN235,Okhahlamba,46308.0,3638879.0,0.0,3685187.0,3.69
KZN237,Inkosi Langalibalele,965498.0,34881808.0,33944499.0,69791805.0,69.79
KZN238,Alfred Duma,514876.0,51744.0,2026081.0,2592701.0,2.59
KZN241,Endumeni,1505239.0,9864208.0,32220268.0,43589715.0,43.59
KZN242,Nquthu,33035.0,217750735.0,0.0,217783770.0,217.78
KZN244,Msinga,0.0,808266.0,24711092.0,25519358.0,25.52
KZN245,Umvoti,194690.0,34124626.0,26590020.0,60909336.0,60.91
KZN252,Newcastle,4361163.0,31645210.0,0.0,36006373.0,36.01
KZN253,Emadlangeni,116167.0,29801585.0,11437157.0,41354909.0,41.35
