province,municipality,muni_code,num_taxpayers,taxable_income_rm,avg_taxable_income
KwaZulu-Natal,Nongoma Local Municipality,KZN265,6732,1583,235146.0
KwaZulu-Natal,Nqutu Local Municipality,KZN242,1693,418,246899.0
KwaZulu-Natal,Okhahlamba Local Municipality,KZN235,3504,846,241438.0
KwaZulu-Natal,Ray Nkonyeni Local Municipality,KZN216,27593,7072,256297.0
KwaZulu-Natal,Richmond Local Municipality,KZN227,1915,457,238642.0
KwaZulu-Natal,The Msunduzi Local Municipality,KZN225,70214,21512,306378.0
KwaZulu-Natal,Ubuhlebezwe Local Municipality,KZN434,3278,826,251983.0
KwaZulu-Natal,Ulundi Local Municipality,KZN266,7036,1860,264355.0
KwaZulu-Natal,Umdoni Local Municipality,KZN212,10149,2543,250567.0
KwaZulu-Natal,Umhlabuyalingana Local Municipality,KZN271,4563,1102,241508.0
KwaZulu-Natal,uMhlathuze Local Municipality,KZN282,46633,14902,319559.0
KwaZulu-Natal,uMlalazi Local Municipality,KZN284,7989,2186,273626.0
KwaZulu-Natal,uMngeni Local Municipality,KZN222,13313,3983,299181.0
KwaZulu-Natal,uMshwathi Local Municipality,KZN221,3416,943,276054.0
KwaZulu-Natal,UMuziwabantu Local Municipality,KZN214,2964,765,258097.0
KwaZulu-Natal,Umvoti Local Municipality,KZN245,5038,1320,262009.0
KwaZulu-Natal,Umzimkhulu Local Municipality,KZN435,5319,1358,255311.0
KwaZulu-Natal,Umzumbe Local Municipality,KZN213,1263,323,255740.0
KwaZulu-Natal,UPhongolo Local Municipality,KZN262,4238,1068,252006.0
Limpopo,Ba-Phalaborwa Local Municipality,LIM334,9877,3673,371874.0
Limpopo,Bela-Bela Local Municipality,LIM366,4491,1146,255177.0
Limpopo,Blouberg Local Municipality,LIM351,4394,1181,268776.0
Limpopo,Elias Motsoaledi Local Municipality,LIM472,11040,2772,251087.0
Limpopo,Ephraim Mogale Local Municipality,LIM471,5101,1193,233876.0
Limpopo,Greater Giyani Local Municipality,LIM331,10138,2920,288025.0
Limpopo,Greater Letaba Local Municipality,LIM332,4346,1242,285780.0
Limpopo,Greater Tubatse/Fetakgomo Local Municipality,LIM476,18443,5748,311663.0
Limpopo,Greater Tzaneen Local Municipality,LIM333,17744,5298,298580.0
Limpopo,Lepele-Nkumpi Local Municipality,LIM355,13236,3776,285283.0
Limpopo,Lephalale Local Municipality,LIM362,12122,3668,302590.0
Limpopo,Makhado Local Municipality,LIM344,20407,6024,295193.0
Limpopo,Makhuduthamaga Local Municipality,LIM473,7327,2026,276512.0
Limpopo,Malamulele Local Municipality,LIM345,9849,2731,277287.0
Limpopo,Maruleng Local Municipality,LIM335,3813,1078,282717.0
Limpopo,Modimolle/Mookgophong Local Municipality,LIM368,5503,1271,230965.0
Limpopo,Mogalakwena Local Municipality,LIM367,15378,4931,320653.0
Limpopo,Molemole Local Municipality,LIM353,2001,581,290355.0
Limpopo,Musina Local Municipality,LIM341,4071,1336,328175.0
Limpopo,Polokwane Local Municipality,LIM354,59936,19734,329251.0
Limpopo,Thabazimbi Local Municipality,LIM361,8151,3046,373696.0
Limpopo,Thulamela Local Municipality,LIM343,27756,8280,298314.0
North West,City of Matlosana Local Municipality,NW403,40659,10739,264124.0
North West,Ditsobotla Local Municipality,NW384,9692,2549,263000.0
North West,Greater Taung Local Municipality,NW394,6166,1646,266948.0
North West,Kagisano/Molopo Local Municipality,NW397,3113,785,252168.0
North West,Kgetlengrivier Local Municipality,NW374,2512,608,242038.0
North West,Lekwa-Teemane Local Municipality,NW396,2614,694,265493.0
North West,Madibeng Local Municipality,NW372,30862,10032,325060.0
North West,Mafikeng Local Municipality,NW383,18446,5931,321533.0
North West,Mamusa Local Municipality,NW393,2572,572,222395.0
North West,Maquassi Hills Local Municipality,NW404,3450,614,177971.0
North West,Moretele Local Municipality,NW371,4129,1048,253814.0
North West,Moses Kotane Local Municipality,NW375,7974,2100,263356.0
North West,Naledi Local Municipality,NW392,5708,1305,228626.0
North West,Ramotshere Moiloa Local Municipality,NW385,5548,1467,264420.0
North West,Ratlou Local Municipality,NW381,1194,303,253769.0
