SuperWEB2(tm)

General Household Survey 2022
Province by Main source of electricity
Counting: Person Weight

Filters:
"Default Summation,""Person Weight"""

"Summation Options,""Province"",""Main source of electricity"",""Count"","
"Person Weight,""Mpumalanga"",""Not applicable"",245695.3268686"
"Person Weight,""Mpumalanga"",""Total"",4857209.8583372"
"Person Weight,""Limpopo"",""In-house pre-paid meter"",5836354.4141927"
"Person Weight,""Limpopo"",""In-house conventional meter"",157771.7757905"
"Person Weight,""Limpopo"",""Connected to other source which the household pays for (e.g. connected to neighbour's line and paying neighbours)"",47497.8832397"
"Person Weight,""Limpopo"",""Connected to other source which the household does not pay for (e.g. connected to neighbour's line and not paying)"",7333.4677505"
"Person Weight,""Limpopo"",""Generator"",0"
"Person Weight,""Limpopo"",""Home solar panels"",0"
"Person Weight,""Limpopo"",""Other source of main electricity supply"",24575.3939644"
"Person Weight,""Limpopo"",""Not applicable"",93986.5397521"
"Person Weight,""Limpopo"",""Total"",6167519.4746898"
"Person Weight,""Total"",""In-house pre-paid meter"",49874189.4526931"
"Person Weight,""Total"",""In-house conventional meter"",6527540.5666594"
"Person Weight,""Total"",""Connected to other source which the household pays for (e.g. connected to neighbour's line and paying neighbours)"",1647657.5364377"
"Person Weight,""Total"",""Connected to other source which the household does not pay for (e.g. connected to neighbour's line and not paying)"",936451.6427497"
"Person Weight,""Total"",""Generator"",4256.668059"
"Person Weight,""Total"",""Home solar panels"",68754.6498552"
"Person Weight,""Total"",""Other source of main electricity supply"",148686.2233756"
"Person Weight,""Total"",""Not applicable"",2176631.1905154"
"Person Weight,""Total"",""Total"",61384167.9303451"


(c) Copyright Statistics South Africa
